```csv
interface,nome,Signification,Type,Obligatoire,Calculee
category,nom_catégorie,Nom de la catégorie,VARCHAR,OUI,NO
category,couler,Couleur associée à la catégorie,VARCHAR,OUI,NO
category,icone,Icône associée à la catégorie,VARCHAR,OUI,NO
user,nom,Nom de la personne,VARCHAR,OUI,NO
user,mot passe,Mot de passe de l'utilisateur,VARCHAR,OUI,NO
user,email,Adresse email de l'utilisateur,VARCHAR / Email,OUI,NO
user,photo de profil,Photo de profil de l'utilisateur,VARCHAR / URL,NO,NO
article,nom de article,Nom de l'article,VARCHAR,OUI,NO
article,titre,Titre de l'article,VARCHAR,OUI,NO
article,article statue,État de l'article (Brouillon ou Publié),ENUM,OUI,NO
article,image,Image principale de l'article,VARCHAR / URL,NO,NO
article,contenu,Contenu complet de l'article,TEXT,OUI,NO
article,date creation,Date de création de l'article,DATE TIME,OUI,NO
article,le temps de lecture de article,Durée estimée nécessaire pour lire l'article,INT,OUI,OUI
```
